EmployeeID,Name,Role,Telephone,Email
150,Buddy Garfinkel,Service Technicians,(393) 297-2752,Buddy Garfinkel@tesla.com
151,Irving Thibeault,Service Technicians,(998) 709-8047,Irving Thibeault@tesla.com
152,Efren Widner,Service Technicians,(488) 975-6328,Efren Widner@tesla.com
153,Gustavo Kuyper,Service Technicians,(756) 998-7319,Gustavo Kuyper@tesla.com
154,Traci Lennon,Service Technicians,(254) 976-2108,Traci Lennon@tesla.com
155,Pam Mcgivney,Service Technicians,(586) 360-6519,Pam Mcgivney@tesla.com
156,Mee Atwater,Service Technicians,(721) 466-0105,Mee Atwater@tesla.com
157,Cecil Upshur,Service Technicians,(923) 922-1781,Cecil Upshur@tesla.com
158,Lael Milsap,Service Technicians,(746) 687-8801,Lael Milsap@tesla.com
159,Concetta Ames,Service Technicians,(382) 608-5667,Concetta Ames@tesla.com
160,Jesusita Mellott,Service Technicians,(374) 693-7366,Jesusita Mellott@tesla.com
161,Terrilyn Halbert,Service Technicians,(908) 423-5810,Terrilyn Halbert@tesla.com
162,Wilmer Marriner,Service Technicians,(539) 595-4607,Wilmer Marriner@tesla.com
163,Norbert Vosburg,Service Technicians,(496) 353-8342,Norbert Vosburg@tesla.com
164,Minh Roberds,Service Technicians,(923) 750-4728,Minh Roberds@tesla.com
165,Alton Neher,Service Technicians,(787) 505-6500,Alton Neher@tesla.com
166,Rolanda Keasler,Service Technicians,(469) 229-3719,Rolanda Keasler@tesla.com
167,Janice Depue,Service Technicians,(889) 987-9942,Janice Depue@tesla.com
168,Lauretta Crim,Service Technicians,(662) 417-6928,Lauretta Crim@tesla.com
169,Erick Pumphrey,Service Technicians,(551) 567-4060,Erick Pumphrey@tesla.com
170,Ivonne Leard,Service Technicians,(982) 210-8230,Ivonne Leard@tesla.com
171,Lupita Debolt,Service Technicians,(365) 806-2146,Lupita Debolt@tesla.com
172,Emelia Tschida,Service Technicians,(277) 475-9012,Emelia Tschida@tesla.com
173,Jerica Joo,Service Technicians,(370) 997-4348,Jerica Joo@tesla.com
174,Sal Halfacre,Service Technicians,(719) 451-1843,Sal Halfacre@tesla.com
175,Danyelle Hindle,Service Technicians,(824) 563-9461,Danyelle Hindle@tesla.com
176,Babette Sunday,Service Technicians,(741) 821-7048,Babette Sunday@tesla.com
177,Wava Helbert,Service Technicians,(640) 601-0356,Wava Helbert@tesla.com
178,Belva Mcgrady,Service Technicians,(516) 657-7419,Belva Mcgrady@tesla.com
179,Marcelino Reader,Service Technicians,(863) 372-2641,Marcelino Reader@tesla.com
180,Ferdinand Fulton,Service Technicians,(769) 866-2916,Ferdinand Fulton@tesla.com
181,Kerri Theobald,Service Technicians,(416) 376-0884,Kerri Theobald@tesla.com
182,Thaddeus Medeiros,Service Technicians,(617) 373-7913,Thaddeus Medeiros@tesla.com
183,Jammie Riehle,Service Technicians,(361) 696-9563,Jammie Riehle@tesla.com
184,Brenton Hassan,Service Technicians,(366) 227-2633,Brenton Hassan@tesla.com
185,Shirlene Post,Service Technicians,(605) 486-3024,Shirlene Post@tesla.com
186,Freddie Wolfram,Service Technicians,(585) 464-7133,Freddie Wolfram@tesla.com
187,Maud Brotherton,Service Technicians,(782) 818-7186,Maud Brotherton@tesla.com
188,Laura Gorgone,Service Technicians,(509) 751-9122,Laura Gorgone@tesla.com
189,Elinor Thole,Service Technicians,(946) 822-1523,Elinor Thole@tesla.com
190,Lyda Parish,Service Technicians,(496) 803-1729,Lyda Parish@tesla.com
191,Rueben Cremin,Service Technicians,(470) 359-8002,Rueben Cremin@tesla.com
192,Marline Laskowski,Service Technicians,(999) 624-0652,Marline Laskowski@tesla.com
193,Jeannetta Desrochers,Service Technicians,(999) 533-5485,Jeannetta Desrochers@tesla.com
194,Diana Grigg,Service Technicians,(774) 259-2422,Diana Grigg@tesla.com
195,Marilou Yorke,Service Technicians,(579) 867-1189,Marilou Yorke@tesla.com
196,Florentino Vendetti,Service Technicians,(725) 385-6423,Florentino Vendetti@tesla.com
197,Madaline Stannard,Service Technicians,(528) 756-5145,Madaline Stannard@tesla.com
198,Juliet Langdon,Service Technicians,(590) 204-8518,Juliet Langdon@tesla.com
199,Jared Capshaw,Service Technicians,(720) 387-1413,Jared Capshaw@tesla.com
,,,,
